,survived,pclass,sex,age,sibsp,parch,fare,embarked,alone
0,0,3,0,22,1,0,7.25,0,0
1,1,1,1,38,1,0,71.2833,1,0
2,1,3,1,26,0,0,7.925,0,1
3,1,1,1,35,1,0,53.1,0,0
4,0,3,0,35,0,0,8.05,0,1
5,0,3,0,29,0,0,8.4583,2,1
6,0,1,0,54,0,0,51.8625,0,1
7,0,3,0,2,3,1,21.075,0,0
8,1,3,1,27,0,2,11.1333,0,0
9,1,2,1,14,1,0,30.0708,1,0
10,1,3,1,4,1,1,16.7,0,0
11,1,1,1,58,0,0,26.55,0,1
12,0,3,0,20,0,0,8.05,0,1
13,0,3,0,39,1,5,31.275,0,0
14,0,3,1,14,0,0,7.8542,0,1
15,1,2,1,55,0,0,16.0,0,1
16,0,3,0,2,4,1,29.125,2,0
17,1,2,0,29,0,0,13.0,0,1
18,0,3,1,31,1,0,18.0,0,0
19,1,3,1,29,0,0,7.225,1,1
20,0,2,0,35,0,0,26.0,0,1
21,1,2,0,34,0,0,13.0,0,1
22,1,3,1,15,0,0,8.0292,2,1
23,1,1,0,28,0,0,35.5,0,1
24,0,3,1,8,3,1,21.075,0,0
25,1,3,1,38,1,5,31.3875,0,0
26,0,3,0,29,0,0,7.225,1,1
27,0,1,0,19,3,2,263.0,0,0
28,1,3,1,29,0,0,7.8792,2,1
29,0,3,0,29,0,0,7.8958,0,1
30,0,1,0,40,0,0,27.7208,1,1
31,1,1,1,29,1,0,146.5208,1,0
32,1,3,1,29,0,0,7.75,2,1
33,0,2,0,66,0,0,10.5,0,1
34,0,1,0,28,1,0,82.1708,1,0
35,0,1,0,42,1,0,52.0,0,0
36,1,3,0,29,0,0,7.2292,1,1
37,0,3,0,21,0,0,8.05,0,1
38,0,3,1,18,2,0,18.0,0,0
39,1,3,1,14,1,0,11.2417,1,0
40,0,3,1,40,1,0,9.475,0,0
41,0,2,1,27,1,0,21.0,0,0
42,0,3,0,29,0,0,7.8958,1,1
43,1,2,1,3,1,2,41.5792,1,0
44,1,3,1,19,0,0,7.8792,2,1
45,0,3,0,29,0,0,8.05,0,1
46,0,3,0,29,1,0,15.5,2,0
48,0,3,0,29,2,0,21.6792,1,0
49,0,3,1,18,1,0,17.8,0,0
50,0,3,0,7,4,1,39.6875,0,0
51,0,3,0,21,0,0,7.8,0,1
52,1,1,1,49,1,0,76.7292,1,0
53,1,2,1,29,1,0,26.0,0,0
54,0,1,0,65,0,1,61.9792,1,0
55,1,1,0,29,0,0,35.5,0,1
56,1,2,1,21,0,0,10.5,0,1
